,neighborhood,postal_code,poi_count
165,HAY EL MASJID,20550.0,34
166,HAY ENNOUR,20700.0,16
167,HAY FALAH MASSIRA III,20660.0,10
168,HAY HASSANI,20230.0,9
169,HAY LA GARE,20310.0,28
170,HAY LA VILLETTE,20320.0,4
171,HAY MOHAMMADI,20570.0,7
172,HAY MOUSTABANO,20640.0,15
173,HAY MY ABDELLAH,20480.0,10
174,HAY OMAR IBN KHATTAB,20540.0,13
175,HAY RAJA,20360.0,13
176,HAY RAJA,20420.0,6
177,HAY RAKBOUTE,20400.0,18
178,HAY ROCHE NOIRES,20290.0,12
179,HAY SADRI,20650.0,15
180,HAY SADRI MY RACHID I,20670.0,11
181,HAY SALAMA I,20670.0,15
182,HAY SALAMA III,20670.0,19
183,HAY SARAZANE,20630.0,18
184,HAY TISSIR,20530.0,4
185,HAY TIZNIT,20400.0,18
186,HDIOUI,20280.0,3
187,HOPITAUX,20360.0,105
188,HOPITAUX,20420.0,11
189,HOURIA,20230.0,9
190,HOUSNI,20270.0,20
191,IBN KHLDOUNE,20270.0,26
192,IDÉAL,20050.0,148
193,IFRIQUIA HAKAM2,20450.0,21
194,ITISSAL 1-2-3,20450.0,11
195,JAMILA,20230.0,18
196,JAMILA 1,20430.0,10
197,JAMILA 1 MASSOUDIA,20430.0,10
198,JAMILA 3,20430.0,14
199,JAMILA 4,20440.0,14
200,JAMILA 4 JAMILA 5,20440.0,14
201,JAMILA 5,20440.0,14
202,JAMILA 7 ET 6,20440.0,16
203,JAMILA1 KSAR BHAR,20430.0,7
204,JAWADI ALHAD ALJADID,20430.0,7
205,JNANATE,20280.0,3
206,KALOJIRA HASSANIA 1-2-3,20450.0,22
207,KASBAT AMINE,20190.0,1
208,KASTOR,20560.0,4
209,KATAFA,20600.0,18
210,KHAWRIZMI,20260.0,4
211,KHOUZAMA,20260.0,20
212,KRIKERE AL ADARISSA,20400.0,148
213,KRIMATE,20460.0,10
214,LA COLINE (SIDI MAAROUF),20150.0,23
215,LAAYOUNE,20510.0,25
216,LAGIDONDE,20500.0,27
217,LAHJAJMA,20160.0,1
218,LALLA MERIEM,20670.0,11
219,LAROUSSI – CHAMA,20530.0,4
220,LAYA,20200.0,32
221,LAYMOUNE,20190.0,1
222,LES CHAMPS D’ANFA,20050.0,2
223,LINA,20280.0,3
224,LISSASSFA 1,20190.0,20
225,LISSASSFA 2 3,20190.0,3
226,LOT AL WARDA,20580.0,11
227,LOT AZEMMOURI,20560.0,3
228,LOT CHEFCHAOUINI,20590.0,1
229,LOT FADL ET SAFIA,20640.0,15
230,LOT MERYEM,20400.0,2
231,LOT REYANE,20400.0,2
232,LOT RÉDA,20400.0,14
233,LOT SIKIBIA,20230.0,9
