QUARTIER;CODE POSTAL
LISSASSFA 1;20190
LISSASSFA 2 3;20190
LOT AL WARDA;20580
LOT AZEMMOURI;20560
LOT CHEFCHAOUINI;20590
LOT FADL ET SAFIA;20640
LOT MERYEM;20400
LOT RÉDA;20400
LOT REYANE;20400
LOT SIKIBIA;20230
M?ALLA;20180
MAAGUIZE;20600
MAARIF;20330
MAARIF;20370
MAARIF EXTENTION;20370
MABROUKA;20280
MABROUKA D SAMIA;20670
MABROUKA MY LARBI ALAOUI;20670
MABROUKA SALAMA III;20670
MADINAT ENNOUR;20640
MADINATI;20620
MAHDIA;20340
MANDARONA;20460
MANDAROUNA;20270
MASSIRA;20660
MASSIRA II HAY RAJA II;20670
MASSIRA JDIDA;20660
MAZOLA;20220
MECHOUAR;20490
MEDINA 1;20020
MEDINA 2;20030
MERS SULTAN;20490
MERS SULTAN SECTEUR 1;20130
MERS SULTAN SECTEUR 2;20140
MIMARZA;20630
MIMOUSAS;20580
MISSIMI;20220
MY RACHID (IMMEBLE);20670
MY RACHID G3;20660
MY RACHID G5 ET 6;20660
MY RACHID GROUP 1;20660
MY RACHID II DIAR ESSALAM;20670
MY THAMI;20240
M’ZOUGA;20170
NADIA;20390
NAJAM;20280
NASSIM;20190
NEJMA;20230
NEZHA;20580
OASIS;20410
OMARIA;20460
OPERATION LISSASSFA;20190
OULED TALEB;20460
OULFA;20220
PALMIER;20340
PALOMA 1 ET 2;20580
PAM;20280
PANORAMA;20620
PARANFA;20170
PARC DE LA LEAGUE ARABE;20070
PARTIE DE CASA GARE;20560
POLO;20420
PROJET HASSAN II;20570
RÉSIDANCE AL ITIMADE;20630
RÉSIDANCE AL AMAL AL WAHA;20630
RÉSIDANCE ANSSAE;20520
RÉSIDANCE CHARAF TAROUDANTE;20640
RÉSIDANCE KARAM DALIA;20630
RÉSIDANCE MERS ZINEB 1 ET 2;20400
RÉSIDANCE YAKINE AL AL ALAA;20640
RACINE;20100
RAHA;20200
RAJA;20230
RIAD CALIFORNIA;20420
RIAD EL ALI;20550
RIAD OULFA;20240
RIVIERA;20410
RIYAD ANFA;20050
R’MILLA;20470
ROKIA;20280
ROMANDIE;20330
ROUTE BEN SLIMANE KM 65 À 82;20640
S.OTHMANE BALADIA;20700
S.OTHMANE JDID;20700
SAAD LA KHIER;20230
SAADA;20280
SALAJ;20180
SALAMA III;20670
SALMIA I H ENNOUR I;20440
SALMIA II;20700
SALMIA II FERREILLE;20700
SDI BERNOUSSI;20610
SIDI ABDELLAH BEN LHAJ;20580
SIDI ABDERRAHMANE;20240
SIDI BELYOUT  HORLOGE;20000
SIDI BERNOUSSI;20600
SIDI KHADIR;20230
SIDI MAAROUF 5;20520
SIDI MAARTOUF 4 ET 6;20520
SIDI MOUMEN JDID G 7-8-9;20400
SIDI MOUMEN JDID G1-2;20400
SIDI MOUMEN JDID G3-4-5;20400
SIDI MOUMEN LAKDIM;20400
SIDI MOUMEN LAKDIM;20640
SIDI OTHMANE;20700
SIDI OTHMANE 1;20700
SMARA;20240
SOUFIANE;20280
SOUK KOREA;20520
TAKADOUM;20560
TAKADOUM;20600
TARIK;20600
TARIK EL KHEIR;20610
TASSAHOUL;20160
TOULOUTE BRAICHA;20050
VAL D’ANFA;20170
VAL FLEURIE;20390
WARDA;20230
WIAM;20240
WIDAD;20230
WIFAK 1 ET 2;20240
WIFAK 3 ET 4;20240
YASMINA;20480
Z I HAY RAHMA;20660
Z.I AIN SEBAA;20590
Z.I BERNOUSSI;20590
ZAKIA;20280
ZARHOUNE WALILI;20630
ZENATA;20610
ZENATA;20580
ZINEB;20260
ZONE INDUSTRIELLE;20280
ZONE INDUSTRIELLE;20270
ZONE INDUSTRIELLE;20190
ZONE INDUSTRIELLE OUKACHA;20580
ZOUBAIR;20260
