,neighborhood,postal_code,latitude,longitude
121,DERB MANJRA,20530,33.57414,-7.58229
122,DERB MIMOUNA,20530,33.56548,-7.5861
123,DERB MY CHARIF,20560,33.58748,-7.57056
124,DERB OMAR SECTEUR 1,20080,33.59064,-7.60769
125,DERB OMAR SECTEUR 2,20090,33.57375,-7.52195
126,DERB SADNI,20530,33.57414,-7.58229
127,DERB SALAMA,20430,33.5684,-7.60753
128,DEUX MARS,20490,33.57534,-7.61132
129,DIYAR,20160,33.60207,-7.65339
130,DOUAR OULED JMEL,20180,33.23858,-8.52828
131,DOUAR SI GHANEM,20180,33.58245,-7.65172
132,DOUAR SIDI AHMED BELHCEN,20440,32.51838,-7.38108
133,DOUAR SIDI BRAHIM,20050,33.59067,-7.63278
134,DRISSIA I ET III,20530,33.57414,-7.58229
135,DRISSIA II ET IV,20530,33.57414,-7.58229
136,EDDOUHA AL FAAL,20250,33.59646,-7.61548
137,EL ALIA,20240,33.59646,-7.61548
138,EL HADIKA-HAY RAHMANI,20630,33.60914,-7.51611
139,EL HANA,20210,33.57737,-7.66489
140,EL HANK,20160,33.60207,-7.65339
141,EL MANAR,20160,33.60057,-7.65364
142,EL MANSOUR,20600,33.60699,-7.50502
143,EMERANCE 2,20580,33.52679,-7.57864
144,ESPÉRENCE 1 ET 2,20590,33.57375,-7.52195
145,ESSAADA,20570,33.58243,-7.5531
146,ESSAFA,20260,33.53651,-7.6952
147,FAMILLE FRANÇAISE,20340,33.57117,-7.63348
148,FARIDA,20600,33.60914,-7.51611
149,FERARA,20240,33.59646,-7.61548
150,FERME BRETANNE,20200,33.56815,-7.6498
151,FIDA,20270,33.51861,-7.64969
152,FRANCE VILLE,20390,33.57117,-7.63348
153,GHAUTIER,20060,33.58854,-7.62844
154,GRIGOUANE,20520,33.56396,-7.59892
155,HABIBA,20260,33.53651,-7.6952
156,HABOUS,20490,33.57803,-7.60595
157,HADAKAT OUM RABII,20220,33.55809,-7.67995
158,HADDAOUIA,20460,33.5318,-7.61389
159,HADIKAT OUM RABIR,20220,33.55809,-7.67995
160,HAJ FATEH,20260,33.5416,-7.68366
161,HAKAR 1-2-3,20350,33.55608,-7.55251
162,HAMZA,20270,33.51861,-7.64969
163,HASSANIA,20240,33.59646,-7.61548
164,HAT AL HOURIA,20400,33.59646,-7.61548
165,HAY AL FATH 3,20480,33.52679,-7.57864
166,HAY AL JAWHRA,20630,33.22898,-8.49133
167,HAY AL KARIA,20400,33.60914,-7.51611
168,HAY AL MANSSOUR,20450,33.60542,-7.50447
169,HAY AL OURDA,20630,33.60914,-7.51611
170,HAY AMAL,20530,32.99016,-7.61243
171,HAY CHABAB,20480,33.6056,-7.51988
172,HAY DAKHLA,20490,33.53645,-7.60191
173,HAY EL BARAKA AL HOUDA,20650,33.56902,-7.55352
174,HAY EL FARAH,20530,33.56696,-7.58723
175,HAY EL FARAH,20540,33.5671,-7.58356
176,HAY EL HANA,20210,33.57737,-7.66489
177,HAY EL MASJID,20550,33.5684,-7.60753
178,HAY ENNOUR,20700,32.65213,-8.42627
179,HAY FALAH MASSIRA III,20660,33.56529,-7.53618
180,HAY HASSANI,20230,33.57886,-7.59604
181,HAY LA GARE,20310,33.61158,-7.52962
182,HAY LA VILLETTE,20320,33.58999,-7.5778
183,HAY MOHAMMADI,20570,33.58587,-7.56675
184,HAY MOUSTABANO,20640,33.57249,-7.65776
185,HAY MY ABDELLAH,20480,33.56336,-7.54305
186,HAY OMAR IBN KHATTAB,20540,33.26714,-7.58593
187,HAY PALESTINE,20300,33.62702,-7.50229
188,HAY RAJA,20360,33.57403,-7.54962
189,HAY RAJA,20420,33.58727,-7.55592
190,HAY RAKBOUTE,20400,33.60914,-7.51611
191,HAY ROCHE NOIRES,20290,33.59933,-7.58734
192,HAY SADRI,20650,33.56902,-7.55352
193,HAY SADRI MY RACHID I,20670,33.55608,-7.55251
194,HAY SALAMA I,20670,33.56273,-7.56181
195,HAY SALAMA III,20670,33.56732,-7.56007
196,HAY SARAZANE,20630,33.60914,-7.51611
197,HAY TISSIR,20530,33.57414,-7.58229
198,HAY TIZNIT,20400,33.60914,-7.51611
199,HDIOUI,20280,33.50828,-7.66245
200,HOPITAUX,20360,33.58055,-7.62168
201,HOPITAUX,20420,33.56014,-7.61835
202,HOURIA,20230,33.57886,-7.59604
203,HOUSNI,20270,33.51861,-7.64969
204,IBN KHLDOUNE,20270,33.57431,-7.67478
205,IDÉAL,20050,33.59646,-7.61548
206,IFRIQUIA HAKAM2,20450,33.60542,-7.50447
207,INARA I,20480,33.52679,-7.57864
208,INARA II,20480,33.52679,-7.57864
209,ITISSAL 1-2-3,20450,33.55608,-7.55251
210,JAMILA,20230,33.56453,-7.64451
211,JAMILA 1,20430,33.57398,-7.68196
212,JAMILA 1 MASSOUDIA,20430,33.57398,-7.68196
213,JAMILA 3,20430,33.57331,-7.68245
214,JAMILA 4,20440,33.68492,-7.38628
215,JAMILA 4 JAMILA 5,20440,33.68492,-7.38628
216,JAMILA 5,20440,33.573,-7.68317
217,JAMILA 7 ET 6,20440,33.57272,-7.68373
218,JAMILA1 KSAR BHAR,20430,33.53903,-7.56532
219,JAWADI ALHAD ALJADID,20430,33.53903,-7.56532
220,JNANATE,20280,33.50828,-7.66245
221,KALOJIRA HASSANIA 1-2-3,20450,33.55996,-7.58348
222,KASBAT AMINE,20190,33.52567,-7.67459
223,KASTOR,20560,33.58748,-7.57056
224,KATAFA,20600,33.60914,-7.51611
225,KHAWRIZMI,20260,33.53651,-7.6952
226,KHOUZAMA,20260,33.51861,-7.64969
227,KRIKERE AL ADARISSA,20400,33.59646,-7.61548
228,KRIMATE,20460,33.5318,-7.61389
229,LA COLINE (SIDI MAAROUF),20150,33.54099,-7.64094
230,LAAYOUNE,20510,33.573,-7.60179
231,LAGIDONDE,20500,33.5851,-7.60176
232,LAHJAJMA,20160,33.60207,-7.65339
233,LALLA MERIEM,20670,33.55608,-7.55251
234,LANCHANG,20210,33.57737,-7.66489
235,LAROUSSI – CHAMA,20530,33.57414,-7.58229
236,LAYA,20200,33.56887,-7.6481
237,LAYMOUNE,20190,33.52567,-7.67459
238,LES CHAMPS D’ANFA,20050,33.59557,-7.65942
239,LINA,20280,33.50828,-7.66245
240,LISSASSFA 1,20190,33.51861,-7.64969
241,LISSASSFA 2 3,20190,33.52945,-7.67405
242,LOT AL WARDA,20580,33.23666,-8.49337
243,LOT AZEMMOURI,20560,33.59386,-7.56762
244,LOT CHEFCHAOUINI,20590,33.27959,-7.5662
245,LOT FADL ET SAFIA,20640,33.57249,-7.65776
246,LOT MERYEM,20400,33.59972,-7.49626
247,LOT RÉDA,20400,33.25244,-8.52184
248,LOT REYANE,20400,33.59972,-7.49626
249,LOT SIKIBIA,20230,33.57886,-7.59604
250,M?ALLA,20180,,
251,MAAGUIZE,20600,33.60914,-7.51611
252,MAARIF,20330,33.58367,-7.63553
253,MAARIF,20370,33.58926,-7.65902
254,MAARIF EXTENTION,20370,33.58926,-7.65902
255,MABROUKA,20280,33.54905,-7.62135
256,MABROUKA D SAMIA,20670,33.5631,-7.548
257,MABROUKA MY LARBI ALAOUI,20670,33.55608,-7.55251
258,MABROUKA SALAMA III,20670,33.55608,-7.55251
259,MADINAT ENNOUR,20640,33.55098,-7.55485
260,MADINATI,20620,33.59646,-7.61548
261,MAHDIA,20340,33.57117,-7.63348
262,MANDARONA,20460,33.5318,-7.61389
263,MANDAROUNA,20270,33.5318,-7.61389
264,MASSIRA,20660,33.56028,-7.54407
265,MASSIRA II HAY RAJA II,20670,33.57403,-7.54962
266,MASSIRA JDIDA,20660,33.55608,-7.55251
267,MAZOLA,20220,33.55698,-7.67782
268,MECHOUAR,20490,33.57803,-7.60595
269,MEDINA 1,20020,33.59646,-7.61548
270,MEDINA 2,20030,33.37055,-7.54129
271,MERS SULTAN,20490,33.58265,-7.60572
272,MERS SULTAN SECTEUR 1,20130,33.58655,-7.61695
273,MERS SULTAN SECTEUR 2,20140,33.56888,-7.61141
274,MIMARZA,20630,33.59004,-7.49334
275,MIMOUSAS,20580,33.53768,-7.58033
276,MISSIMI,20220,33.55698,-7.67782
277,MY RACHID (IMMEBLE),20670,33.55608,-7.55251
278,MY RACHID G3,20660,33.56529,-7.53618
279,MY RACHID G5 ET 6,20660,33.56947,-7.54412
280,MY RACHID GROUP 1,20660,33.55608,-7.55251
281,MY RACHID II DIAR ESSALAM,20670,33.55608,-7.55251
282,MY THAMI,20240,33.59646,-7.61548
283,M’ZOUGA,20170,33.60034,-7.64373
284,NADIA,20390,33.58022,-7.63119
285,NAJAM,20280,33.50828,-7.66245
286,NASSIM,20190,33.52567,-7.67459
287,NEJMA,20230,33.57886,-7.59604
288,NEZHA,20580,33.53768,-7.58033
289,OASIS,20410,33.55694,-7.63073
290,OMARIA,20460,33.5318,-7.61389
291,OPERATION LISSASSFA,20190,33.51861,-7.64969
292,OULED TALEB,20460,33.5318,-7.61389
